municipio,departamento,votos,candidato
Guadalupe,Antioquia,270,Germán Vargas Lleras
Guadalupe,Antioquia,56,Humberto de la Calle
Guadalupe,Antioquia,9,Viviane Morales
Guadalupe,Antioquia,5,Jorque Antonio Trujillo Sarmiento
Guarne,Antioquia,13079,Iván Duque
Guarne,Antioquia,1507,Gustavo Petro
Guarne,Antioquia,6415,Sergio Fajardo
Guarne,Antioquia,517,Germán Vargas Lleras
Guarne,Antioquia,519,Humberto de la Calle
Guarne,Antioquia,59,Viviane Morales
Guarne,Antioquia,133,Jorque Antonio Trujillo Sarmiento
Guatape,Antioquia,2694,Iván Duque
Guatape,Antioquia,301,Gustavo Petro
Guatape,Antioquia,998,Sergio Fajardo
Guatape,Antioquia,322,Germán Vargas Lleras
Guatape,Antioquia,79,Humberto de la Calle
Guatape,Antioquia,6,Viviane Morales
Guatape,Antioquia,8,Jorque Antonio Trujillo Sarmiento
Heliconia,Antioquia,1434,Iván Duque
Heliconia,Antioquia,117,Gustavo Petro
Heliconia,Antioquia,415,Sergio Fajardo
Heliconia,Antioquia,281,Germán Vargas Lleras
Heliconia,Antioquia,34,Humberto de la Calle
Heliconia,Antioquia,4,Viviane Morales
Heliconia,Antioquia,9,Jorque Antonio Trujillo Sarmiento
Hispania,Antioquia,1121,Iván Duque
Hispania,Antioquia,117,Gustavo Petro
Hispania,Antioquia,510,Sergio Fajardo
Hispania,Antioquia,127,Germán Vargas Lleras
Hispania,Antioquia,38,Humberto de la Calle
Hispania,Antioquia,9,Viviane Morales
Hispania,Antioquia,6,Jorque Antonio Trujillo Sarmiento
Itagui,Antioquia,68550,Iván Duque
Itagui,Antioquia,9738,Gustavo Petro
Itagui,Antioquia,50920,Sergio Fajardo
Itagui,Antioquia,6326,Germán Vargas Lleras
Itagui,Antioquia,2959,Humberto de la Calle
Itagui,Antioquia,161,Viviane Morales
Itagui,Antioquia,239,Jorque Antonio Trujillo Sarmiento
Ituango,Antioquia,1653,Iván Duque
Ituango,Antioquia,457,Gustavo Petro
Ituango,Antioquia,1531,Sergio Fajardo
Ituango,Antioquia,105,Germán Vargas Lleras
Ituango,Antioquia,232,Humberto de la Calle
Ituango,Antioquia,27,Viviane Morales
Ituango,Antioquia,23,Jorque Antonio Trujillo Sarmiento
Jardin,Antioquia,4117,Iván Duque
Jardin,Antioquia,718,Gustavo Petro
Jardin,Antioquia,1652,Sergio Fajardo
Jardin,Antioquia,165,Germán Vargas Lleras
Jardin,Antioquia,83,Humberto de la Calle
Jardin,Antioquia,10,Viviane Morales
